Tournament;Round;Day;Date;Time;Home;Home score;Away score;Away Score;Away;Attendance;Venue;Extra Time;Penalties;Notes
Russia 2018;Group stage;Thu;14/06/2018;18:00 (16:00);Russia;5;5-0;0;Saudi Arabia;78,011;Olimpiyskiy stadion Luzhniki (Neutral Site);;;
Russia 2018;Group stage;Fri;15/06/2018;17:00 (13:00);Egypt;0;0-1;1;Uruguay;27,015;Stadion Central'nyj (Neutral Site);;;
Russia 2018;Group stage;Fri;15/06/2018;18:00 (16:00);Morocco;0;0-1;1;IR Iran;62,548;Gazprom Arena (Neutral Site);;;
Russia 2018;Group stage;Fri;15/06/2018;21:00 (19:00);Portugal;3;3-3;3;Spain;43,866;Olimpiyskiy Stadion Fisht (Neutral Site);;;
Russia 2018;Group stage;Sat;16/06/2018;13:00 (11:00);France;2;2-1;1;Australia;41,279;Kazan Arena (Neutral Site);;;
Russia 2018;Group stage;Sat;16/06/2018;16:00 (14:00);Argentina;1;1-1;1;Iceland;44,190;Otkrytie Arena (Neutral Site);;;
Russia 2018;Group stage;Sat;16/06/2018;19:00 (17:00);Peru;0;0-1;1;Denmark;40,502;Mordovia Arena (Neutral Site);;;
Russia 2018;Group stage;Sat;16/06/2018;21:00 (20:00);Croatia;2;2-0;0;Nigeria;31,136;Kaliningrad Stadium (Neutral Site);;;
Russia 2018;Group stage;Sun;17/06/2018;16:00 (13:00);Costa Rica;0;0-1;1;Serbia;41,432;Cosmos Arena (Neutral Site);;;
Russia 2018;Group stage;Sun;17/06/2018;18:00 (16:00);Germany;0;0-1;1;Mexico;78,011;Olimpiyskiy stadion Luzhniki (Neutral Site);;;
Russia 2018;Group stage;Sun;17/06/2018;21:00 (19:00);Brazil;1;1-1;1;Switzerland;43,109;Rostov Arena (Neutral Site);;;
Russia 2018;Group stage;Mon;18/06/2018;15:00 (13:00);Sweden;1;1-0;0;Korea Republic;42,300;Stadion Nizhny Novgorod (Neutral Site);;;
Russia 2018;Group stage;Mon;18/06/2018;18:00 (16:00);Belgium;3;3-0;0;Panama;43,257;Olimpiyskiy Stadion Fisht (Neutral Site);;;
Russia 2018;Group stage;Mon;18/06/2018;21:00 (19:00);Tunisia;1;1-2;2;England;41,064;Volgograd Arena (Neutral Site);;;
Russia 2018;Group stage;Tue;19/06/2018;15:00 (13:00);Colombia;1;1-2;2;Japan;40,842;Mordovia Arena (Neutral Site);;;
Russia 2018;Group stage;Tue;19/06/2018;18:00 (16:00);Poland;1;1-2;2;Senegal;44,190;Otkrytie Arena (Neutral Site);;;
Russia 2018;Group stage;Tue;19/06/2018;21:00 (19:00);Russia;3;3-1;1;Egypt;64,468;Gazprom Arena (Neutral Site);;;
Russia 2018;Group stage;Wed;20/06/2018;15:00 (13:00);Portugal;1;1-0;0;Morocco;78,011;Olimpiyskiy stadion Luzhniki (Neutral Site);;;
Russia 2018;Group stage;Wed;20/06/2018;18:00 (16:00);Uruguay;1;1-0;0;Saudi Arabia;42,678;Rostov Arena (Neutral Site);;;
Russia 2018;Group stage;Wed;20/06/2018;21:00 (19:00);IR Iran;0;0-1;1;Spain;42,718;Kazan Arena (Neutral Site);;;
Russia 2018;Group stage;Thu;21/06/2018;16:00 (13:00);Denmark;1;1-1;1;Australia;40,727;Cosmos Arena (Neutral Site);;;
Russia 2018;Group stage;Thu;21/06/2018;20:00 (16:00);France;1;1-0;0;Peru;32,789;Stadion Central'nyj (Neutral Site);;;
Russia 2018;Group stage;Thu;21/06/2018;21:00 (19:00);Argentina;0;0-3;3;Croatia;43,319;Stadion Nizhny Novgorod (Neutral Site);;;
Russia 2018;Group stage;Fri;22/06/2018;15:00 (13:00);Brazil;2;2-0;0;Costa Rica;64,468;Gazprom Arena (Neutral Site);;;
Russia 2018;Group stage;Fri;22/06/2018;18:00 (16:00);Nigeria;2;2-0;0;Iceland;40,904;Volgograd Arena (Neutral Site);;;
